Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Withdrawal","","","8.10000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-31T13:41:09", "1_DFI20211231134109"
"Deposit","8.10000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-31T13:41:09", "2_DFI20211231134109"
"Withdrawal","","","0.23444216000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-31T13:41:09", "DFI20211231134109_sent"
"Deposit","0.23443994000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-31T13:41:09", "DFI20211231134109_receive"
"Mining","0.00000266000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "BTC20211231000100_Commission"
"Mining","6.64553728000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-31T00:01:00", "DFI20211231000100_Rewards"
"Mining","0.06613179000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "DFI20211231000100_Commission"
"Withdrawal","","","5.30000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-30T07:53:55", "1_DFI20211230075355"
"Deposit","5.30000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-30T07:53:55", "2_DFI20211230075355"
"Deposit","0.23444216000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-30T07:53:55", "DFI20211230075355_receive"
"Withdrawal","","","0.23444438000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-30T07:53:55", "DFI20211230075355_sent"
"Mining","0.00000298000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "BTC20211230000100_Commission"
"Mining","6.25196793000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-30T00:01:00", "DFI20211230000100_Rewards"
"Mining","0.06788832000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "DFI20211230000100_Commission"
"Withdrawal","","","4.70000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-29T12:44:09", "1_DFI20211229124409"
"Deposit","4.70000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-29T12:44:09", "2_DFI20211229124409"
"Withdrawal","","","0.23444660000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-29T12:44:09", "DFI20211229124409_sent"
"Deposit","0.23444438000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-29T12:44:09", "DFI20211229124409_receive"
"Mining","0.00000424000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "BTC20211229000100_Commission"
"Mining","6.66532474000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-29T00:01:00", "DFI20211229000100_Rewards"
"Mining","0.06779359000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "DFI20211229000100_Commission"
"Withdrawal","","","4.90000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-28T19:37:19", "1_DFI20211228193719"
